subject,condition,block,procedure,trial,item,response,RT,time,correct,accuracy
24102902,cl_letter,1,test,0,L,0,,15.7,,
24102902,cl_letter,1,test,1,V,0,,17.43,0.0,1.0
24102902,cl_letter,1,test,2,D,0,,19.15,0.0,1.0
24102902,cl_letter,1,test,3,C,0,,20.87,0.0,1.0
24102902,cl_letter,1,test,4,K,0,,22.6,0.0,1.0
24102902,cl_letter,1,test,5,Z,0,,24.32,0.0,1.0
24102902,cl_letter,1,test,6,Z,0,,26.04,1.0,0.0
24102902,cl_letter,1,test,7,Z,0,,27.77,1.0,0.0
24102902,cl_letter,1,test,8,G,0,,29.49,0.0,1.0
24102902,cl_letter,1,test,9,O,0,,31.22,0.0,1.0
24102902,cl_letter,1,test,10,N,0,,32.94,0.0,1.0
24102902,cl_letter,1,test,11,N,0,,34.66,1.0,0.0
24102902,cl_letter,1,test,12,H,0,,36.39,0.0,1.0
24102902,cl_letter,1,test,13,R,0,,38.11,0.0,1.0
24102902,cl_letter,1,test,14,P,0,,39.83,0.0,1.0
24102902,cl_letter,1,test,15,G,0,,41.56,0.0,1.0
24102902,cl_letter,1,test,16,C,0,,43.28,0.0,1.0
24102902,cl_letter,1,test,17,M,0,,45.0,0.0,1.0
24102902,cl_letter,1,test,18,X,0,,46.73,0.0,1.0
24102902,cl_letter,1,test,19,O,0,,48.45,0.0,1.0
24102902,cl_letter,1,test,20,U,0,,50.18,0.0,1.0
24102902,cl_letter,2,test,0,W,0,,58.94,,
24102902,cl_letter,2,test,1,G,0,,60.66,0.0,1.0
24102902,cl_letter,2,test,2,V,0,,62.39,0.0,1.0
24102902,cl_letter,2,test,3,J,0,,64.11,0.0,1.0
24102902,cl_letter,2,test,4,A,0,,65.84,0.0,1.0
24102902,cl_letter,2,test,5,Z,0,,67.56,0.0,1.0
24102902,cl_letter,2,test,6,H,0,,69.28,0.0,1.0
24102902,cl_letter,2,test,7,X,0,,71.01,0.0,1.0
24102902,cl_letter,2,test,8,U,0,,72.74,0.0,1.0
24102902,cl_letter,2,test,9,N,0,,74.46,0.0,1.0
24102902,cl_letter,2,test,10,I,0,,76.19,0.0,1.0
24102902,cl_letter,2,test,11,G,0,,77.91,0.0,1.0
24102902,cl_letter,2,test,12,V,0,,79.63,0.0,1.0
24102902,cl_letter,2,test,13,T,0,,81.35,0.0,1.0
24102902,cl_letter,2,test,14,C,0,,83.08,0.0,1.0
24102902,cl_letter,2,test,15,Z,0,,84.8,0.0,1.0
24102902,cl_letter,2,test,16,L,0,,86.53,0.0,1.0
24102902,cl_letter,2,test,17,J,0,,88.25,0.0,1.0
24102902,cl_letter,2,test,18,M,0,,89.97,0.0,1.0
24102902,cl_letter,2,test,19,D,0,,91.7,0.0,1.0
24102902,cl_letter,2,test,20,H,0,,93.42,0.0,1.0
24102902,cl_letter,3,test,0,I,0,,101.25,,
24102902,cl_letter,3,test,1,O,0,,102.97,0.0,1.0
24102902,cl_letter,3,test,2,X,0,,104.7,0.0,1.0
24102902,cl_letter,3,test,3,Z,0,,106.42,0.0,1.0
24102902,cl_letter,3,test,4,Z,0,,108.15,1.0,0.0
24102902,cl_letter,3,test,5,V,0,,109.87,0.0,1.0
24102902,cl_letter,3,test,6,C,0,,111.59,0.0,1.0
24102902,cl_letter,3,test,7,S,0,,113.32,0.0,1.0
24102902,cl_letter,3,test,8,K,0,,115.04,0.0,1.0
24102902,cl_letter,3,test,9,P,0,,116.77,0.0,1.0
24102902,cl_letter,3,test,10,F,0,,118.49,0.0,1.0
24102902,cl_letter,3,test,11,G,0,,120.22,0.0,1.0
24102902,cl_letter,3,test,12,R,0,,121.94,0.0,1.0
24102902,cl_letter,3,test,13,Z,0,,123.67,0.0,1.0
24102902,cl_letter,3,test,14,J,0,,125.39,0.0,1.0
24102902,cl_letter,3,test,15,B,0,,127.12,0.0,1.0
24102902,cl_letter,3,test,16,L,0,,128.84,0.0,1.0
24102902,cl_letter,3,test,17,D,0,,130.57,0.0,1.0
24102902,cl_letter,3,test,18,A,0,,132.29,0.0,1.0
24102902,cl_letter,3,test,19,K,0,,134.02,0.0,1.0
24102902,cl_letter,3,test,20,V,0,,135.74,0.0,1.0
24102902,cl_letter,4,test,0,W,0,,142.81,,
24102902,cl_letter,4,test,1,F,0,,144.54,0.0,1.0
24102902,cl_letter,4,test,2,S,0,,146.26,0.0,1.0
24102902,cl_letter,4,test,3,I,0,,147.99,0.0,1.0
24102902,cl_letter,4,test,4,E,0,,149.71,0.0,1.0
24102902,cl_letter,4,test,5,E,0,,151.43,1.0,0.0
24102902,cl_letter,4,test,6,U,0,,153.16,0.0,1.0
24102902,cl_letter,4,test,7,L,0,,154.88,0.0,1.0
24102902,cl_letter,4,test,8,L,0,,156.6,1.0,0.0
24102902,cl_letter,4,test,9,N,0,,158.33,0.0,1.0
24102902,cl_letter,4,test,10,N,0,,160.05,1.0,0.0
24102902,cl_letter,4,test,11,N,0,,161.77,1.0,0.0
24102902,cl_letter,4,test,12,N,0,,163.49,1.0,0.0
24102902,cl_letter,4,test,13,M,0,,165.22,0.0,1.0
24102902,cl_letter,4,test,14,D,0,,166.95,0.0,1.0
24102902,cl_letter,4,test,15,T,0,,168.67,0.0,1.0
24102902,cl_letter,4,test,16,B,0,,170.39,0.0,1.0
24102902,cl_letter,4,test,17,B,0,,172.11,1.0,0.0
24102902,cl_letter,4,test,18,F,0,,173.84,0.0,1.0
24102902,cl_letter,4,test,19,L,0,,175.56,0.0,1.0
24102902,cl_letter,4,test,20,O,0,,177.29,0.0,1.0
24102902,cl_letter,5,test,0,S,0,,185.11,,
24102902,cl_letter,5,test,1,S,0,,186.83,1.0,0.0
24102902,cl_letter,5,test,2,N,0,,188.56,0.0,1.0
