subject,condition,block,procedure,trial,item,response,RT,time,correct,accuracy
24102802,cl_animals,1,test,0,assets\cl_animals\animals_55.png,0,,97.53,,
24102802,cl_animals,1,test,1,assets\cl_animals\animals_38.png,0,,99.26,0.0,1.0
24102802,cl_animals,1,test,2,assets\cl_animals\animals_82.png,0,,100.99,0.0,1.0
24102802,cl_animals,1,test,3,assets\cl_animals\animals_21.png,0,,102.72,0.0,1.0
24102802,cl_animals,1,test,4,assets\cl_animals\animals_33.png,0,,104.45,0.0,1.0
24102802,cl_animals,1,test,5,assets\cl_animals\animals_16.png,0,,106.18,0.0,1.0
24102802,cl_animals,1,test,6,assets\cl_animals\animals_72.png,0,,107.91,0.0,1.0
24102802,cl_animals,1,test,7,assets\cl_animals\animals_44.png,0,,109.63,0.0,1.0
24102802,cl_animals,1,test,8,assets\cl_animals\animals_44.png,0,,111.36,1.0,0.0
24102802,cl_animals,1,test,9,assets\cl_animals\animals_36.png,0,,113.09,0.0,1.0
24102802,cl_animals,1,test,10,assets\cl_animals\animals_74.png,0,,114.82,0.0,1.0
24102802,cl_animals,1,test,11,assets\cl_animals\animals_60.png,0,,116.55,0.0,1.0
24102802,cl_animals,1,test,12,assets\cl_animals\animals_58.png,0,,118.29,0.0,1.0
24102802,cl_animals,1,test,13,assets\cl_animals\animals_58.png,0,,120.01,1.0,0.0
24102802,cl_animals,1,test,14,assets\cl_animals\animals_5.png,0,,121.74,0.0,1.0
24102802,cl_animals,1,test,15,assets\cl_animals\animals_54.png,0,,123.48,0.0,1.0
24102802,cl_animals,1,test,16,assets\cl_animals\animals_35.png,0,,125.21,0.0,1.0
24102802,cl_animals,1,test,17,assets\cl_animals\animals_81.png,0,,126.93,0.0,1.0
24102802,cl_animals,1,test,18,assets\cl_animals\animals_37.png,0,,128.66,0.0,1.0
24102802,cl_animals,1,test,19,assets\cl_animals\animals_17.png,0,,130.39,0.0,1.0
24102802,cl_animals,1,test,20,assets\cl_animals\animals_80.png,0,,132.13,0.0,1.0
24102802,cl_animals,2,test,0,assets\cl_animals\animals_76.png,0,,140.81,,
24102802,cl_animals,2,test,1,assets\cl_animals\animals_40.png,0,,142.54,0.0,1.0
24102802,cl_animals,2,test,2,assets\cl_animals\animals_69.png,0,,144.26,0.0,1.0
24102802,cl_animals,2,test,3,assets\cl_animals\animals_1.png,0,,145.99,0.0,1.0
24102802,cl_animals,2,test,4,assets\cl_animals\animals_22.png,0,,147.72,0.0,1.0
24102802,cl_animals,2,test,5,assets\cl_animals\animals_25.png,0,,149.45,0.0,1.0
24102802,cl_animals,2,test,6,assets\cl_animals\animals_88.png,0,,151.18,0.0,1.0
