subject,condition,block,procedure,trial,item,response,RT,time,correct,accuracy
24102801,ed_birds,1,test,0,assets\ed_birds\goose_1.png,0,,76.19,,
24102801,ed_birds,1,test,1,assets\ed_birds\hummingbird_2.png,0,,77.94,0.0,1.0
24102801,ed_birds,1,test,2,assets\ed_birds\duckling_1.png,0,,79.7,0.0,1.0
24102801,ed_birds,1,test,3,assets\ed_birds\rooster_3.png,0,,81.45,0.0,1.0
24102801,ed_birds,1,test,4,assets\ed_birds\goose_3.png,0,,83.2,0.0,1.0
24102801,ed_birds,1,test,5,assets\ed_birds\cardinal_2.png,0,,84.95,0.0,1.0
24102801,ed_birds,1,test,6,assets\ed_birds\turkey_1.png,0,,86.83,0.0,1.0
24102801,ed_birds,1,test,7,assets\ed_birds\peacock_3.png,0,,88.58,0.0,1.0
24102801,ed_birds,1,test,8,assets\ed_birds\pheasant_1.png,0,,90.33,0.0,1.0
24102801,ed_birds,1,test,9,assets\ed_birds\puffin_3.png,0,,92.07,0.0,1.0
24102801,ed_birds,1,test,10,assets\ed_birds\seagull_2.png,0,,93.82,0.0,1.0
24102801,ed_birds,1,test,11,assets\ed_birds\vulture_3.png,0,,95.56,0.0,1.0
24102801,ed_birds,1,test,12,assets\ed_birds\vulture_1.png,0,,97.31,0.0,1.0
24102801,ed_birds,1,test,13,assets\ed_birds\pelican_2.png,0,,99.05,0.0,1.0
24102801,ed_birds,1,test,14,assets\ed_birds\puffin_2.png,0,,100.81,0.0,1.0
24102801,ed_birds,1,test,15,assets\ed_birds\swan_2.png,0,,102.56,0.0,1.0
24102801,ed_birds,1,test,16,assets\ed_birds\turkey_3.png,0,,104.3,0.0,1.0
24102801,ed_birds,1,test,17,assets\ed_birds\pigeon_2.png,0,,106.04,0.0,1.0
24102801,ed_birds,1,test,18,assets\ed_birds\peacock_2.png,0,,107.78,0.0,1.0
24102801,ed_birds,1,test,19,assets\ed_birds\flamingo_2.png,0,,109.53,0.0,1.0
24102801,ed_birds,1,test,20,assets\ed_birds\crow_2.png,0,,111.27,0.0,1.0
24102801,ed_birds,2,test,0,assets\ed_birds\turkey_2.png,0,,126.56,,
24102801,ed_birds,2,test,1,assets\ed_birds\toucan_1.png,0,,128.31,0.0,1.0
24102801,ed_birds,2,test,2,assets\ed_birds\flamingo_1.png,1,0.787,130.05,0.0,0.0
24102801,ed_birds,2,test,3,assets\ed_birds\swan_1.png,0,,131.79,0.0,1.0
24102801,ed_birds,2,test,4,assets\ed_birds\seagull_1.png,1,0.104,133.53,0.0,0.0
24102801,ed_birds,2,test,5,assets\ed_birds\peacock_1.png,0,,135.29,0.0,1.0
24102801,ed_birds,2,test,6,assets\ed_birds\flamingo_3.png,1,0.103,137.03,0.0,0.0
24102801,ed_birds,2,test,7,assets\ed_birds\ostrich_2.png,0,,138.79,0.0,1.0
24102801,ed_birds,2,test,8,assets\ed_birds\swan_3.png,1,0.105,140.52,0.0,0.0
24102801,ed_birds,2,test,9,assets\ed_birds\rooster_2.png,1,0.619,142.27,0.0,0.0
24102801,ed_birds,2,test,10,assets\ed_birds\rooster_2.png,0,,144.01,1.0,0.0
24102801,ed_birds,2,test,11,assets\ed_birds\pelican_1.png,1,0.104,145.76,0.0,0.0
