subject,condition,block,procedure,trial,item,response,RT,time,correct,accuracy
24103001,ed_fruits,1,test,0,assets\ed_fruits\lemon_1.png,0,,78.04,,
24103001,ed_fruits,1,test,1,assets\ed_fruits\mango_1.png,0,,79.87,0.0,1.0
24103001,ed_fruits,1,test,2,assets\ed_fruits\mango_1.png,1,0.533,81.65,1.0,1.0
24103001,ed_fruits,1,test,3,assets\ed_fruits\kiwi_1.png,0,,83.39,0.0,1.0
24103001,ed_fruits,1,test,4,assets\ed_fruits\cantaloupe_3.png,0,,85.14,0.0,1.0
24103001,ed_fruits,1,test,5,assets\ed_fruits\star_fruit_1.png,0,,86.9,0.0,1.0
24103001,ed_fruits,1,test,6,assets\ed_fruits\raspberry_3.png,0,,88.66,0.0,1.0
24103001,ed_fruits,1,test,7,assets\ed_fruits\mulberry_1.png,0,,90.4,0.0,1.0
24103001,ed_fruits,1,test,8,assets\ed_fruits\kiwi_2.png,0,,92.16,0.0,1.0
24103001,ed_fruits,1,test,9,assets\ed_fruits\mango_2.png,0,,94.31,0.0,1.0
24103001,ed_fruits,1,test,10,assets\ed_fruits\prune_1.png,0,,96.05,0.0,1.0
24103001,ed_fruits,1,test,11,assets\ed_fruits\prune_1.png,1,0.367,97.78,1.0,1.0
24103001,ed_fruits,1,test,12,assets\ed_fruits\peach_1.png,0,,99.53,0.0,1.0
24103001,ed_fruits,1,test,13,assets\ed_fruits\pineapple_1.png,0,,101.36,0.0,1.0
24103001,ed_fruits,1,test,14,assets\ed_fruits\star_fruit_2.png,0,,103.11,0.0,1.0
24103001,ed_fruits,1,test,15,assets\ed_fruits\blackberry_3.png,0,,104.85,0.0,1.0
24103001,ed_fruits,1,test,16,assets\ed_fruits\watermelon_1.png,0,,106.6,0.0,1.0
24103001,ed_fruits,1,test,17,assets\ed_fruits\apple_3.png,0,,108.34,0.0,1.0
24103001,ed_fruits,1,test,18,assets\ed_fruits\mango_3.png,0,,110.13,0.0,1.0
24103001,ed_fruits,1,test,19,assets\ed_fruits\papaya_3.png,0,,111.89,0.0,1.0
24103001,ed_fruits,1,test,20,assets\ed_fruits\mulberry_3.png,0,,113.67,0.0,1.0
24103001,ed_fruits,2,test,0,assets\ed_fruits\pineapple_3.png,0,,122.13,,
24103001,ed_fruits,2,test,1,assets\ed_fruits\pineapple_2.png,0,,124.08,0.0,1.0
24103001,ed_fruits,2,test,2,assets\ed_fruits\lemon_3.png,0,,125.83,0.0,1.0
